"Date","AveragePrice","TotalVolume","TotalRevenue","TotRevSmallHass","TotRevLargeHass","TotRevXLHass","SmallHass","LargeHass","XLHass","TotalBags","SmallBags","LargeBags","XLBags","Type","Year","Region","CityUsed","State","Country","Latitude","Longitude"
"2015-12-27",1.33,64236.62,85434.7046,1378.8642,72424.9505,64.0528,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-12-20",1.35,54876.98,74083.923,910.278,60262.3935,78.7455,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-12-13",0.93,118220.22,109944.8046,739.071,101509.1931,121.365,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-12-06",1.08,78992.15,85311.522,1222.56,77734.5228,78.3864,1132,71976.41,72.58,5811.16,5677.4,133.76,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-11-29",1.28,51039.6,65330.688,1205.0944,56113.1392,96.9984,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-11-22",1.26,55979.78,70534.5228,1492.1802,60565.6674,54.9486,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-11-15",0.99,83453.76,82619.2224,1355.2308,72935.9928,92.3274,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-11-08",0.98,109428.33,107239.7634,689.675,99779.0528,78.4,703.75,101815.36,80,6829.22,6266.85,562.37,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-11-01",1.02,99811.42,101807.6484,1042.593,89061.8814,87.0468,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
"2015-10-25",1.07,74338.76,79542.4732,901.368,69290.4608,120.91,842.4,64757.44,113,8625.92,8061.47,564.45,0,"conventional",2015,"Albany","Albany","NY","USA",42.65258,-73.756233
