Variable Name,Mode of Decomposition,Date,Seasonal Index,Original Series,Trend-Cycle Component,Seasonal Component,Irregular Component,Seasonally Adjusted Series
AveragePrice,MULT,2015-01-04,1,1.022790698,,0.873137978,,1.171396415
AveragePrice,MULT,2015-01-11,2,1.128604651,,0.923335756,,1.222312299
AveragePrice,MULT,2015-01-18,3,1.155581395,,0.946642046,,1.220716321
AveragePrice,MULT,2015-01-25,4,1.133488372,,0.900105963,,1.259283261
AveragePrice,MULT,2015-02-01,5,0.974651163,,0.917240992,,1.062590063
AveragePrice,MULT,2015-02-08,6,1.048837209,,0.755672499,,1.387952069
AveragePrice,MULT,2015-02-15,7,1.150930233,,0.854204901,,1.347370205
AveragePrice,MULT,2015-02-22,8,1.11372093,,0.941291087,,1.183184401
AveragePrice,MULT,2015-03-01,9,1.047906977,,0.913822298,,1.146729489
AveragePrice,MULT,2015-03-08,10,1.127441861,,0.97392392,,1.157628268
AveragePrice,MULT,2015-03-15,11,1.161395349,,0.997833176,,1.163917353
AveragePrice,MULT,2015-03-22,12,1.067674419,,1.014846911,,1.052054657
AveragePrice,MULT,2015-03-29,13,1.118837209,,1.011157161,,1.106491902
AveragePrice,MULT,2015-04-05,14,1.148139535,,0.996950732,,1.151651228
AveragePrice,MULT,2015-04-12,15,1.111627907,,0.971542619,,1.144188515
AveragePrice,MULT,2015-04-19,16,1.115348837,,0.973427304,,1.145795719
AveragePrice,MULT,2015-04-26,17,1.153953488,,0.94224417,,1.224686261
AveragePrice,MULT,2015-05-03,18,1.028372093,,0.909263959,,1.130994013
AveragePrice,MULT,2015-05-10,19,1.120697674,,0.85795842,,1.306237747
AveragePrice,MULT,2015-05-17,20,1.143953488,,0.926255047,,1.235030774
AveragePrice,MULT,2015-05-24,21,1.107674419,,0.973220251,,1.138153894
AveragePrice,MULT,2015-05-31,22,1.136976744,,0.978913253,,1.161468333
AveragePrice,MULT,2015-06-07,23,1.093953488,,0.987536232,,1.107760356
AveragePrice,MULT,2015-06-14,24,1.098837209,,1.00717521,,1.091008991
AveragePrice,MULT,2015-06-21,25,1.090930233,,0.982593737,,1.110255635
AveragePrice,MULT,2015-06-28,26,1.132325581,,0.975353679,,1.160938443
AveragePrice,MULT,2015-07-05,27,1.121162791,1.091596601,0.998284485,1.028850279,1.123089468
AveragePrice,MULT,2015-07-12,28,1.126511628,1.089707066,1.005904511,1.027706625,1.119899172
AveragePrice,MULT,2015-07-19,29,1.125348837,1.087211539,1.053813062,0.982221727,1.067882795
AveragePrice,MULT,2015-07-26,30,1.142325581,1.084581843,1.073333626,0.981279752,1.064278202
AveragePrice,MULT,2015-08-02,31,1.157209302,1.083392218,1.089047895,0.980797216,1.062588072
