Date,log_totRev,Forecast for log_totRev,Std Error of Forecast,Lower 95% Confidence Limit,Upper 95% Confidence Limit,Residual: Actual-Forecast
2015-01-04,16.724688287,,,,,
2015-01-11,16.707537528,16.724688287,0.0803663108,16.567173212,16.882203362,-0.017150759
2015-01-18,16.726363206,16.711730084,0.0779280876,16.558993839,16.864466329,0.0146331226
2015-01-25,16.713204375,16.724043828,0.0766280205,16.573855668,16.874231988,-0.010839453
2015-02-01,17.010741946,16.924644475,0.0758735132,16.775935121,17.073353828,0.0860974716
2015-02-08,16.744141798,16.983420696,0.0754140742,16.835611826,17.131229565,-0.239278897
2015-02-15,16.684116958,16.812906491,0.0751261074,16.665662027,16.960150956,-0.128789534
2015-02-22,16.747319168,16.759909605,0.0749423402,16.613025317,16.906793893,-0.012590437
2015-03-01,16.792333471,16.786218205,0.0748237205,16.639566407,16.932870002,0.0061152663
2015-03-08,16.74506543,16.807887683,0.0747465875,16.661387064,16.954388303,-0.062822253
2015-03-15,16.754432076,16.774360209,0.0746961912,16.627958364,16.920762053,-0.019928133
2015-03-22,16.807427276,16.774835331,0.074663161,16.628498225,16.921172438,0.0325919443
2015-03-29,16.755916729,16.805130809,0.0746414685,16.658836219,16.951425399,-0.04921408
2015-04-05,16.825330102,16.772386249,0.074627203,16.626119619,16.918652879,0.0529438529
2015-04-12,16.801653811,16.813968201,0.0746178132,16.667719974,16.960216427,-0.01231439
2015-04-19,16.854857253,16.800870903,0.0746116293,16.654634796,16.947107009,0.0539863507
2015-04-26,16.82314317,16.835252594,0.074607555,16.689024474,16.981480715,-0.012109424
2015-05-03,17.012180811,17.027626021,0.07460487,16.881403163,17.173848879,-0.01544521
2015-05-10,16.94356727,17.015593641,0.0746031003,16.869374252,17.161813031,-0.072026371
2015-05-17,16.84215426,16.970814399,0.0746019338,16.824597296,17.117031502,-0.128660139
2015-05-24,16.936015053,16.900456496,0.0746011647,16.7542409,17.046672092,0.0355585569
