Variable Name,Mode of Decomposition,Date,Seasonal Index,Original Series,Trend-Cycle Component,Seasonal Component,Irregular Component,Seasonally Adjusted Series
TotalVolume,MULT,2015-01-04,1,19326301.2,,1.125265289,,17174884.35
TotalVolume,MULT,2015-01-11,2,17755619.71,,1.088686012,,16309220.03
TotalVolume,MULT,2015-01-18,3,17384678.02,,1.071361264,,16226718.86
TotalVolume,MULT,2015-01-25,4,17056262,,1.141753447,,14938656.01
TotalVolume,MULT,2015-02-01,5,26852183.92,,1.094064295,,24543515.45
TotalVolume,MULT,2015-02-08,6,19301750.81,,1.668916462,,11565438.56
TotalVolume,MULT,2015-02-15,7,16968480.46,,1.146000566,,14806694.67
TotalVolume,MULT,2015-02-22,8,18294558.96,,0.974913705,,18765311.09
TotalVolume,MULT,2015-03-01,9,20242188.07,,1.089081896,,18586470.08
TotalVolume,MULT,2015-03-08,10,17932852.55,,1.013859273,,17687713.7
TotalVolume,MULT,2015-03-15,11,17720487.01,,1.00030534,,17715077.88
TotalVolume,MULT,2015-03-22,12,19481509.48,,0.99650407,,19549854.4
TotalVolume,MULT,2015-03-29,13,17771343.65,,1.004464704,,17692352.53
TotalVolume,MULT,2015-04-05,14,18759304.51,,1.001464978,,18731862.75
TotalVolume,MULT,2015-04-12,15,18994697.8,,1.050881169,,18075019.68
TotalVolume,MULT,2015-04-19,16,19885801.6,,1.05734773,,18807248.59
TotalVolume,MULT,2015-04-26,17,18494465.72,,1.107977904,,16692088.94
TotalVolume,MULT,2015-05-03,18,25456719.72,,1.208722752,,21060842.68
TotalVolume,MULT,2015-05-10,19,22205366.06,,1.402567843,,15831937.24
TotalVolume,MULT,2015-05-17,20,18923574.23,,1.136445515,,16651545.52
TotalVolume,MULT,2015-05-24,21,21336210.91,,1.048841142,,20342652.54
TotalVolume,MULT,2015-05-31,22,20741336.18,,1.139084966,,18208770.02
TotalVolume,MULT,2015-06-07,23,22170128.69,,1.146638768,,19334884.98
TotalVolume,MULT,2015-06-14,24,22415818.63,,1.06087137,,21129629.16
TotalVolume,MULT,2015-06-21,25,21810234.2,,1.11574484,,19547689.96
TotalVolume,MULT,2015-06-28,26,19308658.63,,1.087058975,,17762291.72
TotalVolume,MULT,2015-07-05,27,22999274.31,19048633.8,1.153786276,1.04646554,19933738.85
TotalVolume,MULT,2015-07-12,28,18980263.78,19127224.45,1.053553609,0.941875826,18015470.33
TotalVolume,MULT,2015-07-19,29,19364139.41,19204593.75,0.962791184,1.047275567,20112501.8
TotalVolume,MULT,2015-07-26,30,18283856.98,19282618.8,0.944401874,1.004026001,19360250.63
TotalVolume,MULT,2015-08-02,31,18472663.92,19269277.83,0.927246235,1.033877328,19922069.48
TotalVolume,MULT,2015-08-09,32,20441772.22,19338743.7,0.992016109,1.065544428,20606290.6
TotalVolume,MULT,2015-08-16,33,19506951.49,19514091.25,0.981456783,1.018520775,19875507.35
TotalVolume,MULT,2015-08-23,34,18011757.1,19585306.55,0.922300729,0.997133154,19529158.49
TotalVolume,MULT,2015-08-30,35,18214566.71,19629972.34,0.916083545,1.012894178,19883084.69
TotalVolume,MULT,2015-09-06,36,20355054.13,19690075.96,0.963200111,1.073268409,21132736.49
TotalVolume,MULT,2015-09-13,37,19167301.8,19766514.24,0.910857834,1.06458488,21043132.19
TotalVolume,MULT,2015-09-20,38,18150713.08,19835134.96,0.851643422,1.074485936,21312573.55
TotalVolume,MULT,2015-09-27,39,16902042.86,19902234.68,0.823123284,1.031745228,20534035.66
TotalVolume,MULT,2015-10-04,40,17392399.64,19959600.02,0.879168454,0.991141305,19782784.02
TotalVolume,MULT,2015-10-11,41,18022751.24,20008719.22,0.872751126,1.032075292,20650504.72
TotalVolume,MULT,2015-10-18,42,18640019.4,20066097.24,0.871747225,1.065596718,21382367.35
TotalVolume,MULT,2015-10-25,43,15968737.21,20146521.81,0.756565103,1.047669233,21106891.07
TotalVolume,MULT,2015-11-01,44,19881985.41,20211580.3,0.795012856,1.237329387,25008382.26
TotalVolume,MULT,2015-11-08,45,17732174.55,20284558.55,0.759218126,1.15140966,23355836.67
TotalVolume,MULT,2015-11-15,46,17998790.48,20400579.73,0.795750983,1.108724459,22618621.72
TotalVolume,MULT,2015-11-22,47,15599846.94,20462355.01,0.760140814,1.002930111,20522311.98
TotalVolume,MULT,2015-11-29,48,14159626.06,20507202.67,0.689964746,1.00073355,20522245.74
TotalVolume,MULT,2015-12-06,49,18162282.11,20566110.09,0.904595572,0.976256196,20077792.4
TotalVolume,MULT,2015-12-13,50,17313098.37,20581357.23,0.871714799,0.964997897,19860966.44
TotalVolume,MULT,2015-12-20,51,15511366.35,20586464.01,0.816567394,0.922733448,18995818.92
TotalVolume,MULT,2015-12-27,52,16666171.01,20628488.44,0.845517536,0.95553326,19711206.82
TotalVolume,MULT,2016-01-03,1,23403938.25,20668034.03,1.125265289,1.006317102,20798596.1
TotalVolume,MULT,2016-01-10,2,21851409.31,20701291.08,1.088686012,0.969570464,20071360.4
TotalVolume,MULT,2016-01-17,3,21335295.92,20726924.69,1.071361264,0.960788645,19914193.88
TotalVolume,MULT,2016-01-24,4,21220248.97,20742371,1.141753447,0.896024213,18585666.65
TotalVolume,MULT,2016-01-31,5,21300736.29,20759377.87,1.094064295,0.937858755,19469364.27
TotalVolume,MULT,2016-02-07,6,32077649.36,20765717.54,1.668916462,0.925594989,19220644.1
TotalVolume,MULT,2016-02-14,7,22428726.47,20782287.01,1.146000566,0.941730084,19571304.89
TotalVolume,MULT,2016-02-21,8,20240704.24,20822980.25,0.974913705,0.997049123,20761534.21
TotalVolume,MULT,2016-02-28,9,22941285.14,20874556.01,1.089081896,1.009113363,21064793.41
TotalVolume,MULT,2016-03-06,10,21484532.11,20923401.89,1.013859273,1.012781886,21190842.44
TotalVolume,MULT,2016-03-13,11,22118388.12,20964285.92,1.00030534,1.05472882,22111636.55
TotalVolume,MULT,2016-03-20,12,22220163.81,20989747.65,0.99650407,1.062333709,22298116.46
TotalVolume,MULT,2016-03-27,13,22011060.64,21016977.09,1.004464704,1.042643977,21913224.57
TotalVolume,MULT,2016-04-03,14,20485582.12,21048901.96,1.001464978,0.971813881,20455615.1
TotalVolume,MULT,2016-04-10,15,22376817.46,21058993.24,1.050881169,1.011130252,21293385.14
TotalVolume,MULT,2016-04-17,16,22470995.62,21042144.64,1.05734773,1.009983959,21252228.56
TotalVolume,MULT,2016-04-24,17,24273427.69,21019419.49,1.107977904,1.042267729,21907862.61
TotalVolume,MULT,2016-05-01,18,26443840.28,20942097.85,1.208722752,1.044666442,21877506.85
TotalVolume,MULT,2016-05-08,19,28807983.37,20831911.29,1.402567843,0.985961287,20539458.05
TotalVolume,MULT,2016-05-15,20,24387159.39,20760196.38,1.136445515,1.033668163,21459154.05
TotalVolume,MULT,2016-05-22,21,22297255.47,20731435.9,1.048841142,1.025444859,21258944.36
TotalVolume,MULT,2016-05-29,22,24444448.17,20735188.35,1.139084966,1.034942289,21459723.29
TotalVolume,MULT,2016-06-05,23,24593387.75,20747407.48,1.146638768,1.033779461,21448243.72
TotalVolume,MULT,2016-06-12,24,21578262.36,20771478.83,1.06087137,0.979233636,20340130.74
TotalVolume,MULT,2016-06-19,25,23178895.3,20811717.56,1.11574484,0.99820542,20774369.26
TotalVolume,MULT,2016-06-26,26,22310539.08,20854436.56,1.087058975,0.984143656,20523761.45
TotalVolume,MULT,2016-07-03,27,24110134.46,20868850.76,1.153786276,1.001326548,20896534.28
TotalVolume,MULT,2016-07-10,28,21328137.28,20881082.78,1.053553609,0.969489865,20243998.12
TotalVolume,MULT,2016-07-17,29,19682161.16,20912532.85,0.962791184,0.977538887,20442814.08
TotalVolume,MULT,2016-07-24,30,19572251.58,20977926.42,0.944401874,0.987919122,20724494.64
TotalVolume,MULT,2016-07-31,31,18952983.41,21053352.97,0.927246235,0.970870336,20440075.88
TotalVolume,MULT,2016-08-07,32,20620778.59,21130681.8,0.992016109,0.983722997,20786737.63
TotalVolume,MULT,2016-08-14,33,21051170.71,21206883.87,0.981456783,1.011412261,21448902.37
TotalVolume,MULT,2016-08-21,34,20699634.82,21233402.31,0.922300729,1.056989185,22443476.6
TotalVolume,MULT,2016-08-28,35,20890567.95,21227298.85,0.916083545,1.074287273,22804217
TotalVolume,MULT,2016-09-04,36,22759024.4,21212321.54,0.963200111,1.113906956,23628552.52
TotalVolume,MULT,2016-09-11,37,21015270.76,21176838.6,0.910857834,1.089490043,23071954.79
TotalVolume,MULT,2016-09-18,38,18950763.59,21119424.24,0.851643422,1.053626884,22251993.14
TotalVolume,MULT,2016-09-25,39,18933854.1,21064816.93,0.823123284,1.091984441,23002452.33
TotalVolume,MULT,2016-10-02,40,18680774.39,21044162.69,0.879168454,1.009697145,21248230.99
TotalVolume,MULT,2016-10-09,41,17783870.06,21033824.42,0.872751126,0.968763159,20376794.19
TotalVolume,MULT,2016-10-16,42,17126646.47,21006702.34,0.871747225,0.935241733,19646344.7
TotalVolume,MULT,2016-10-23,43,15118694.37,20965150.01,0.756565103,0.953169217,19983335.62
TotalVolume,MULT,2016-10-30,44,12690577.97,20907064.21,0.795012856,0.763509064,15962733.02
TotalVolume,MULT,2016-11-06,45,13464179.07,20877876.98,0.759218126,0.84942879,17734269.78
TotalVolume,MULT,2016-11-13,46,14808435.78,20859872.6,0.795750983,0.892113991,18609384.2
TotalVolume,MULT,2016-11-20,47,15799111.71,20828019.04,0.760140814,0.99790834,20784453.9
TotalVolume,MULT,2016-11-27,48,14350616.26,20796875.68,0.689964746,1.0001049,20799057.27
