Observation Number,Date,TotalVolume,AveragePrice,PULSE2,Series Forecast,Series Residuals,Forecast Standard Errors,Forecast Lower Confidence Limit,Forecast Upper Confidence Limit,Smoothed Series Values,Variance of the Smoothed Series,Smoothed Irregular Values,Variance of the Smoothed Irregular,Level Forecast Values,Variance of the Filtered Level,Smoothed Level Values,Variance of the Smoothed Level,Slope Forecast Values,Variance of the Filtered Slope,Smoothed Slope Values,Variance of the Smoothed Slope,Filtered Season,Variance of the Filtered Season,Smoothed Season,Variance of the Smoothed Season,Smoothed Trend Plus Regression,Variance of Smoothed Trend Plus Regression,Sum of All Smoothed Components Except the Irregular Component,Variance of Sum of All Smoothed Components Except the Irregular Component
1,2015-01-04,19326301.2,1.02,0,,,,,,19326301.2,0,18288.649603,327733271160,,,32506248.853,592158284747,,,43603.06771,6400602.7553,,,801879.81266,313059778607,18506132.738,27836113340,19308012.55,327733271160
2,2015-01-11,17755619.71,1.13,0,,,,,,17755619.71,0,-105530.6195,333146122832,,,32549851.921,593950628806,,,43603.06771,6400602.7553,,,759812.16673,305406603253,17101338.163,34172082852,17861150.33,333146122832
3,2015-01-18,17384678.02,1.16,0,,,,,,17384678.02,0,-137757.4436,333029667738,,,32593454.988,595755774071,,,43603.06771,6400602.7553,,,746756.04967,303971931113,16775679.414,37027008332,17522435.464,333029667738
4,2015-01-25,17056262,1.13,0,,,,,,17056262,0,-1065612.891,336949403498,,,32637058.056,597573720542,,,43603.06771,6400602.7553,,,1000179.7146,306513723347,17121695.176,33155035001,18121874.891,336949403498
5,2015-02-01,26852183.92,0.97,1,,,,,,26852183.92,0,-869965.1001,636462712311,,,32680661.124,599404468218,,,43603.06771,6400602.7553,,,387464.62296,365057740227,27334684.397,665346955185,27722149.02,636462712311
6,2015-02-08,19301750.81,1.05,0,,,,,,19301750.81,0,-869965.1001,636462712311,,,32724264.192,601248017100,,,43603.06771,6400602.7553,,,1804096.4844,583282759226,18367619.426,25389409582,20171715.91,636462712311
7,2015-02-15,16968480.46,1.15,0,,,,,,16968480.46,0,-595558.8602,346923511902,,,32767867.259,603104367187,,,43603.06771,6400602.7553,,,550281.80504,309411395808,17013757.515,33012704971,17564039.32,346923511902
8,2015-02-22,18294558.96,1.11,0,,,,,,18294558.96,0,1353128.2633,327508638389,,,32811470.327,604973518479,,,43603.06771,6400602.7553,,,-625256.5298,304325175276,17566687.226,27986519846,16941430.697,327508638389
9,2015-03-01,20242188.07,1.05,0,,,,,,20242188.07,0,722910.23584,323986961855,,,32855073.395,606855470977,,,43603.06771,6400602.7553,,,1008116.0392,307692840559,18511161.795,23683863262,19519277.834,323986961855
10,2015-03-08,17932852.55,1.13,0,,,,,,17932852.55,0,284802.97382,324395281642,,,32898676.462,608750224681,,,43603.06771,6400602.7553,,,181970.41411,302836631002,17466079.162,27917051930,17648049.576,324395281642
11,2015-03-15,17720487.01,1.16,0,,,,,,17720487.01,0,291686.03794,323900978577,,,32942279.53,610657779590,,,43603.06771,6400602.7553,,,383879.30454,302616062102,17044921.668,31282207252,17428800.972,323900978577
12,2015-03-22,19481509.48,1.07,0,,,,,,19481509.48,0,462346.28926,317648961438,,,32985882.598,612578135705,,,43603.06771,6400602.7553,,,647771.97201,302438821026,18371391.219,22562741636,19019163.191,317648961438
13,2015-03-29,17771343.65,1.12,0,,,,,,17771343.65,0,-311361.221,319509370233,,,33029485.665,614511293025,,,43603.06771,6400602.7553,,,368034.71949,302450742079,17714670.152,25045218197,18082704.871,319509370233
