Date,log_totRev,Forecast for log_totRev,Std Error of Forecast,Lower 95% Confidence Limit,Upper 95% Confidence Limit,Residual: Actual-Forecast
2015-01-04,13.203342146,,,,,
2015-01-11,13.273815665,13.203342146,0.1078989583,12.991864074,13.414820218,0.0704735187
2015-01-18,13.319688428,13.245522039,0.0988212362,13.051835975,13.439208103,0.0741663892
2015-01-25,13.122494651,13.284190442,0.0969795973,13.094113924,13.47426696,-0.161695792
2015-02-01,13.338703081,13.278117671,0.0965363611,13.08890988,13.467325462,0.0605854102
2015-02-08,13.374217881,13.308316394,0.0964255631,13.119325763,13.497307025,0.0659014865
2015-02-15,13.258213151,13.341088906,0.0963976073,13.152153068,13.530024745,-0.082875755
2015-02-22,13.308825233,13.299899335,0.0963905371,13.110977354,13.488821316,0.0089258984
2015-03-01,13.411182221,13.304334882,0.096388748,13.115416408,13.493253357,0.1068473389
2015-03-08,13.474359111,13.357428544,0.0963882952,13.168510957,13.546346131,0.1169305671
2015-03-15,13.254032597,13.415532124,0.0963881806,13.226614762,13.604449487,-0.161499527
2015-03-22,13.32627679,13.335282123,0.0963881516,13.146364818,13.524199429,-0.009005333
2015-03-29,13.403266112,13.330807327,0.0963881442,13.141890036,13.519724618,0.0724587854
2015-04-05,13.359489923,13.366812467,0.0963881424,13.17789518,13.555729755,-0.007322544
2015-04-12,13.603680974,13.363173858,0.0963881419,13.174256571,13.552091144,0.240507116
2015-04-19,13.425787498,13.482683066,0.0963881418,13.29376578,13.671600353,-0.056895568
2015-04-26,13.563978453,13.454411369,0.0963881417,13.265494083,13.643328655,0.1095670842
2015-05-03,13.561268371,13.584119721,0.0963881417,13.395202435,13.773037008,-0.022851351
2015-05-10,13.51875869,13.572764769,0.0963881417,13.383847483,13.761682055,-0.054006079
2015-05-17,13.485447197,13.545928874,0.0963881417,13.357011588,13.73484616,-0.060481677
2015-05-24,13.461478775,13.515875221,0.0963881417,13.326957935,13.704792508,-0.054396446
2015-05-31,13.471124563,13.488845351,0.0963881417,13.299928064,13.677762637,-0.017720787
2015-06-07,13.415859009,13.480039802,0.0963881417,13.291122515,13.668957088,-0.064180792
2015-06-14,13.41050228,13.44814804,0.0963881417,13.259230753,13.637065326,-0.037645759
2015-06-21,13.379010275,13.429441671,0.0963881417,13.240524384,13.618358957,-0.050431396
2015-06-28,13.410203317,13.404382054,0.0963881417,13.215464768,13.59329934,0.0058212629
2015-07-05,13.405279203,13.407274669,0.0963881417,13.218357383,13.596191955,-0.001995466
2015-07-12,13.312232867,13.406283112,0.0963881417,13.217365826,13.595200398,-0.094050245
2015-07-19,13.402820115,13.359549067,0.0963881417,13.170631781,13.548466354,0.043271048
2015-07-26,13.338279277,13.381050671,0.0963881417,13.192133385,13.569967957,-0.042771394
2015-08-02,13.343683545,13.359797348,0.0963881417,13.170880062,13.548714634,-0.016113803
2015-08-09,13.403553145,13.351790318,0.0963881417,13.162873031,13.540707604,0.0517628271
2015-08-16,13.454990311,13.377511529,0.0963881417,13.188594243,13.566428816,0.0774787816
2015-08-23,13.473105402,13.41601113,0.0963881417,13.227093843,13.604928416,0.0570942725
2015-08-30,13.458040869,13.444381564,0.0963881417,13.255464277,13.63329885,0.0136593053
2015-09-06,13.394035188,13.451168942,0.0963881417,13.262251656,13.640086228,-0.057133754
2015-09-13,13.331197875,13.422778889,0.0963881417,13.233861603,13.611696176,-0.091581014
2015-09-20,13.239329624,13.377271818,0.0963881417,13.188354532,13.566189104,-0.137942195
2015-09-27,13.207157532,13.308727641,0.0963881417,13.119810354,13.497644927,-0.101570109
2015-10-04,13.29799267,13.258256938,0.0963881417,13.069339651,13.447174224,0.0397357317
2015-10-11,13.199514234,13.278001825,0.0963881417,13.089084538,13.466919111,-0.07848759
2015-10-18,13.201374206,13.239000942,0.0963881417,13.050083656,13.427918229,-0.037626736
2015-10-25,13.240950876,13.220304026,0.0963881417,13.03138674,13.409221312,0.0206468497
2015-11-01,13.306493356,13.23056355,0.0963881417,13.041646264,13.419480837,0.0759298058
2015-11-08,13.245192629,13.268293457,0.0963881417,13.07937617,13.457210743,-0.023100827
2015-11-15,13.117189719,13.256814538,0.0963881417,13.067897252,13.445731825,-0.139624819
2015-11-22,13.226150056,13.187434256,0.0963881417,12.99851697,13.376351542,0.0387158001
2015-11-29,13.063351408,13.206672334,0.0963881417,13.017755048,13.39558962,-0.143320926
2015-12-06,13.079889954,13.135455437,0.0963881417,12.946538151,13.324372724,-0.055565483
2015-12-13,13.279852183,13.107844666,0.0963881417,12.91892738,13.296761953,0.1720075162
2015-12-20,13.154586903,13.193316075,0.0963881417,13.004398789,13.382233361,-0.038729172
2015-12-27,13.169167134,13.174071353,0.0963881417,12.985154066,13.362988639,-0.004904219
2016-01-03,13.355792502,13.164542063,0.0957494677,12.976876555,13.352207571,0.1912504388
2016-01-10,13.468858186,13.27947477,0.0943073441,13.094635772,13.464313768,0.1893834159
2016-01-17,13.329487902,13.385002613,0.0939569184,13.200850436,13.569154789,-0.055514711
2016-01-24,13.426288268,13.312300315,0.0938691171,13.128320227,13.496280404,0.1139879529
2016-01-31,13.446674779,13.401175133,0.0938469508,13.21723849,13.585111777,0.0454996456
2016-02-07,13.459628948,13.507164715,0.093841344,13.32323906,13.691090369,-0.047535767
2016-02-14,13.530991039,13.457042855,0.0938399251,13.273119981,13.640965728,0.0739481846
2016-02-21,13.422379154,13.505350292,0.0938394443,13.321428361,13.689272223,-0.082971138
2016-02-28,13.565818385,13.487503949,0.0938394443,13.303582018,13.67142588,0.0783144365
2016-03-06,13.643382198,13.540850923,0.0938394443,13.356928992,13.724772854,0.1025312748
2016-03-13,13.665356215,13.541467831,0.0938394443,13.3575459,13.725389762,0.1238883834
2016-03-20,13.656450272,13.619532067,0.0938394443,13.435610135,13.803453998,0.0369182055
2016-03-27,13.6425265,13.655464356,0.0938394443,13.471542425,13.839386287,-0.012937856
2016-04-03,13.708640322,13.639035234,0.0938394443,13.455113303,13.822957166,0.0696050881
2016-04-10,13.772633993,13.729405376,0.0938394443,13.545483445,13.913327307,0.0432286168
2016-04-17,13.697560785,13.710247898,0.0938394443,13.526325967,13.894169829,-0.012687113
2016-04-24,13.998550327,13.735511958,0.0938394443,13.551590027,13.91943389,0.263038369
2016-05-01,13.918572847,13.923668588,0.0938394443,13.739746656,14.107590519,-0.005095741
2016-05-08,13.758850188,13.911425574,0.0938394443,13.727503642,14.095347505,-0.152575386
2016-05-15,13.770354326,13.82800041,0.0938394443,13.644078478,14.011922341,-0.057646084
2016-05-22,13.845150646,13.79388043,0.0938394443,13.609958498,13.977802361,0.0512702162
2016-05-29,13.811138275,13.821560345,0.0938394443,13.637638414,14.005482276,-0.01042207
2016-06-05,13.743420483,13.803756699,0.0938394443,13.619834767,13.98767863,-0.060336216
2016-06-12,13.730400348,13.772551635,0.0938394443,13.588629704,13.956473566,-0.042151287
2016-06-19,13.828264444,13.74441241,0.0938394443,13.560490479,13.928334342,0.0838520335
2016-06-26,13.800551505,13.793204653,0.0938394443,13.609282721,13.977126584,0.0073468524
2016-07-03,13.835921804,13.795730476,0.0938394443,13.611808545,13.979652407,0.0401913281
2016-07-10,13.842792113,13.79444624,0.0938394443,13.610524309,13.978368171,0.0483458732
2016-07-17,13.922785534,13.839163307,0.0938394443,13.655241376,14.023085238,0.0836222276
2016-07-24,13.783183713,13.865971903,0.0938394443,13.682049972,14.049893834,-0.08278819
2016-07-31,13.771877615,13.826068582,0.0938394443,13.642146651,14.009990513,-0.054190967
2016-08-07,13.818943233,13.81281743,0.0938394443,13.628895499,13.996739362,0.0061258029
2016-08-14,13.824413731,13.827611683,0.0938394443,13.643689751,14.011533614,-0.003197952
2016-08-21,13.794996215,13.830160817,0.0938394443,13.646238886,14.014082748,-0.035164602
2016-08-28,13.690572939,13.809246005,0.0938394443,13.625324073,13.993167936,-0.118673066
2016-09-04,13.858372597,13.735655293,0.0938394443,13.551733362,13.919577224,0.122717304
2016-09-11,13.91930708,13.782279585,0.0938394443,13.598357654,13.966201516,0.1370274945
2016-09-18,13.777431405,13.829382854,0.0938394443,13.645460923,14.013304785,-0.051951449
2016-09-25,13.669559183,13.79621852,0.0938394443,13.612296589,13.980140452,-0.126659338
2016-10-02,13.68292728,13.754031237,0.0938394443,13.570109305,13.937953168,-0.071103957
2016-10-09,13.65812769,13.696202899,0.0938394443,13.512280968,13.88012483,-0.038075209
2016-10-16,13.582632796,13.677708026,0.0938394443,13.493786095,13.861629958,-0.09507523
2016-10-23,13.474780933,13.639505558,0.0938394443,13.455583627,13.82342749,-0.164724625
2016-10-30,13.613822238,13.572625584,0.0938394443,13.388703653,13.756547515,0.0411966546
2016-11-06,13.787242198,13.579092869,0.0938394443,13.395170937,13.7630148,0.2081493292
2016-11-13,13.736692882,13.653282335,0.0938394443,13.469360403,13.837204266,0.0834105479
2016-11-20,13.713724247,13.719620366,0.0938394443,13.535698435,13.903542297,-0.00589612
2016-11-27,13.590338752,13.67950082,0.0938394443,13.495578889,13.863422752,-0.089162068
2016-12-04,13.656423419,13.638973802,0.0938394443,13.455051871,13.822895734,0.0174496171
2016-12-11,13.591022775,13.69332399,0.0938394443,13.509402059,13.877245922,-0.102301215
2016-12-18,13.54488094,13.613874388,0.0938394443,13.429952457,13.797796319,-0.068993448
2016-12-25,13.571599321,13.582921902,0.0938394443,13.398999971,13.766843833,-0.011322581
2017-01-01,13.562666979,13.619928365,0.0938394443,13.436006434,13.803850296,-0.057261386
2017-01-08,13.733622652,13.617303624,0.0938394443,13.433381693,13.801225555,0.1163190282
2017-01-15,13.729934569,13.643265383,0.0938394443,13.459343452,13.827187314,0.0866691857
2017-01-22,13.687307438,13.708444824,0.0938394443,13.524522893,13.892366755,-0.021137386
2017-01-29,13.702263943,13.702598645,0.0938394443,13.518676714,13.886520576,-0.000334703
2017-02-05,13.724298442,13.7634622,0.0938394443,13.579540268,13.947384131,-0.039163758
2017-02-12,13.792850123,13.76030349,0.0938394443,13.576381559,13.944225421,0.0325466323
2017-02-19,14.281116783,13.751664771,0.0938394443,13.56774284,13.935586702,0.529452012
2017-02-26,13.949695148,14.047519433,0.0938394443,13.863597502,14.231441365,-0.097824286
2017-03-05,14.059118045,14.016628731,0.0938394443,13.8327068,14.200550662,0.042489314
2017-03-12,14.037460865,14.042761633,0.0938394443,13.858839702,14.226683564,-0.005300768
2017-03-19,14.092171869,14.038093181,0.0938394443,13.854171249,14.222015112,0.0540786882
2017-03-26,14.109370148,14.061784408,0.0938394443,13.877862477,14.245706339,0.0475857395
2017-04-02,14.161594943,14.10053305,0.0938394443,13.916611119,14.284454981,0.0610618929
2017-04-09,14.055062126,14.145493733,0.0938394443,13.961571802,14.329415664,-0.090431607
2017-04-16,14.203435792,14.083408079,0.0938394443,13.899486148,14.267330011,0.1200277129
2017-04-23,14.045661843,14.211808531,0.0938394443,14.027886599,14.395730462,-0.166146688
2017-04-30,14.173036911,14.169049955,0.0938394443,13.985128024,14.352971886,0.0039869557
2017-05-07,14.195447388,14.134544039,0.0938394443,13.950622108,14.31846597,0.0609033492
2017-05-14,14.134739674,14.167435228,0.0938394443,13.983513297,14.35135716,-0.032695554
2017-05-21,14.1059959,14.168275118,0.0938394443,13.984353186,14.352197049,-0.062279218
2017-05-28,14.180989899,14.12955847,0.0938394443,13.945636539,14.313480401,0.0514314294
2017-06-04,14.210670634,14.139645552,0.0938394443,13.95572362,14.323567483,0.0710250827
2017-06-11,14.17784955,14.171963955,0.0938394443,13.988042024,14.355885887,0.0058855944
2017-06-18,14.226726248,14.197244618,0.0938394443,14.013322687,14.381166549,0.0294816298
2017-06-25,14.055162051,14.205563444,0.0938394443,14.021641512,14.389485375,-0.150401393
2017-07-02,14.097403581,14.138908221,0.0938394443,13.95498629,14.322830152,-0.04150464
2017-07-09,14.04916296,14.119853808,0.0938394443,13.935931877,14.30377574,-0.070690849
2017-07-16,14.073976843,14.103000869,0.0938394443,13.919078938,14.2869228,-0.029024026
2017-07-23,14.141518572,14.056688034,0.0938394443,13.872766102,14.240609965,0.0848305384
2017-07-30,14.032903549,14.096257993,0.0938394443,13.912336062,14.280179925,-0.063354445
2017-08-06,14.013345933,14.075528521,0.0938394443,13.89160659,14.259450452,-0.062182588
2017-08-13,14.012964963,14.045879358,0.0938394443,13.861957427,14.229801289,-0.032914394
2017-08-20,14.117647648,14.022803889,0.0938394443,13.838881958,14.20672582,0.0948437597
2017-08-27,14.150049766,14.046077775,0.0938394443,13.862155843,14.229999706,0.1039719916
2017-09-03,14.176009572,14.136074151,0.0938394443,13.952152219,14.319996082,0.0399354217
2017-09-10,14.189927426,14.169838142,0.0938394443,13.985916211,14.353760073,0.0200892839
2017-09-17,14.141896563,14.14741052,0.0938394443,13.963488589,14.331332452,-0.005513957
2017-09-24,14.165950007,14.120028269,0.0938394443,13.936106338,14.303950201,0.0459217378
2017-10-01,14.102252875,14.145900823,0.0938394443,13.961978892,14.329822755,-0.043647949
2017-10-08,14.151500684,14.118546716,0.0938394443,13.934624785,14.302468647,0.0329539678
2017-10-15,14.128069703,14.101300658,0.104786128,13.895923621,14.306677694,0.0267690453
2017-10-22,14.112853196,14.076662971,0.114692737,13.851869337,14.301456605,0.0361902253
2017-10-29,14.086605096,14.108425576,0.1238091888,13.865764025,14.351087127,-0.02182048
2017-11-05,14.037450387,14.148041643,0.1322989287,13.888740507,14.407342778,-0.110591255
2017-11-12,14.00002925,14.136494154,0.1402757921,13.861558653,14.411429654,-0.136464904
2017-11-19,13.903315446,14.131247197,0.1478228303,13.841519774,14.420974621,-0.227931752
2017-11-26,13.860832514,14.103061007,0.1550028402,13.799261022,14.406860991,-0.242228492
2017-12-03,13.986615782,14.118157392,0.1618646712,13.800908466,14.435406318,-0.131541611
2017-12-10,14.030394374,14.103217265,0.1684472116,13.773066797,14.433367733,-0.072822891
2017-12-17,13.962682637,14.092676621,0.1747820197,13.750110157,14.435243085,-0.129993984
2017-12-24,14.01183669,14.09878017,0.1808951235,13.744232243,14.453328097,-0.08694348
2017-12-31,14.002763593,14.096739665,0.1868082895,13.730602146,14.462877184,-0.093976072
2018-01-07,14.220028322,14.13579279,0.1925399395,13.758421443,14.513164137,0.0842355315
2018-01-14,14.211522895,14.134950284,0.1981058294,13.746669993,14.523230575,0.0765726112
2018-01-21,14.074634221,14.12521254,0.2035195591,13.726321534,14.524103545,-0.050578318
2018-01-28,14.126903959,14.128629204,0.208792965,13.719402513,14.537855896,-0.001725245
2018-02-04,14.151345648,14.191733386,0.2139364241,13.772425699,14.611041072,-0.040387738
2018-02-11,14.111081112,14.207393336,0.218959094,13.778241398,14.636545274,-0.096312224
2018-02-18,14.494215052,14.318933004,0.223869105,13.880157621,14.757708387,0.175282048
2018-02-25,14.21322898,14.243223024,0.228673714,13.79503078,14.691415268,-0.029994044
2018-03-04,14.319373368,14.268219598,0.2333794309,13.810804319,14.725634877,0.0511537705
2018-03-11,14.310342854,14.26327223,0.2379921219,13.796816243,14.729728218,0.0470706232
2018-03-18,14.351853291,14.275770416,0.2425170951,13.800445644,14.751095188,0.0760828753
2018-03-25,14.291935205,14.279699192,0.2469591722,13.795668108,14.763730275,0.012236013
