Variable Name,Mode of Decomposition,Date,Seasonal Index,Original Series,Trend-Cycle Component,Seasonal Component,Irregular Component,Seasonally Adjusted Series
TotalRevenue,MULT,2015-01-04,1,542173.937,,0.801276109,,676638.0913
TotalRevenue,MULT,2015-01-11,2,581761.3928,,0.914397982,,636223.4001
TotalRevenue,MULT,2015-01-18,3,609069.967,,0.843351383,,722201.8948
TotalRevenue,MULT,2015-01-25,4,500065.6409,,0.861181526,,580673.9065
TotalRevenue,MULT,2015-02-01,5,620762.0287,,0.870153463,,713393.7346
TotalRevenue,MULT,2015-02-08,6,643204.4276,,0.87952161,,731311.6816
TotalRevenue,MULT,2015-02-15,7,572754.8976,,0.937654368,,610837.9775
TotalRevenue,MULT,2015-02-22,8,602489.3291,,1.16015164,,519319.4653
TotalRevenue,MULT,2015-03-01,9,667424.9451,,1.017659437,,655843.1247
TotalRevenue,MULT,2015-03-08,10,710951.2287,,1.109532653,,640766.3868
TotalRevenue,MULT,2015-03-15,11,570365.4629,,1.100044322,,518493.1657
TotalRevenue,MULT,2015-03-22,12,613095.9883,,1.116778614,,548986.147
TotalRevenue,MULT,2015-03-29,13,662162.3934,,1.110138204,,596468.4318
TotalRevenue,MULT,2015-04-05,14,633800.7586,,1.168301887,,542497.4192
TotalRevenue,MULT,2015-04-12,15,809102.5697,,1.134592155,,713121.9495
TotalRevenue,MULT,2015-04-19,16,677244.4044,,1.170005054,,578838.8711
TotalRevenue,MULT,2015-04-26,17,777608.4923,,1.260434299,,616936.9503
TotalRevenue,MULT,2015-05-03,18,775503.9621,,1.26820546,,611497.1008
TotalRevenue,MULT,2015-05-10,19,743228.4083,,1.174934581,,632570.0344
TotalRevenue,MULT,2015-05-17,20,718878.183,,1.137846484,,631788.3769
TotalRevenue,MULT,2015-05-24,21,701852.66,,1.158572634,,605790.8151
TotalRevenue,MULT,2015-05-31,22,708655.3382,,1.174708688,,603260.4898
TotalRevenue,MULT,2015-06-07,23,670553.6605,,1.147393947,,584414.5004
TotalRevenue,MULT,2015-06-14,24,666971.2899,,1.113869741,,598787.5111
TotalRevenue,MULT,2015-06-21,25,646294.315,,1.190760245,,542757.7193
TotalRevenue,MULT,2015-06-28,26,666771.9196,,1.072516374,,621689.268
TotalRevenue,MULT,2015-07-05,27,663496.7293,624888.1623,1.097799571,0.96719364,604387.8565
TotalRevenue,MULT,2015-07-12,28,604545.8942,626951.4066,1.046903365,0.921061861,577461.0291
TotalRevenue,MULT,2015-07-19,29,661867.137,628213.7872,1.112528541,0.947004829,594921.4899
TotalRevenue,MULT,2015-07-26,30,620499.0031,629978.3632,1.053928086,0.934554163,588748.9016
TotalRevenue,MULT,2015-08-02,31,623861.4238,632365.8144,1.009768877,0.977007207,617825.9582
TotalRevenue,MULT,2015-08-09,32,662352.4829,633597.815,1.036774809,1.008303005,638858.5809
TotalRevenue,MULT,2015-08-16,33,697313.4565,635876.391,1.052358003,1.042057869,662619.9969
TotalRevenue,MULT,2015-08-23,34,710060.4613,638300.1554,1.074987787,1.034824852,660528.8636
TotalRevenue,MULT,2015-08-30,35,699443.8995,640070.0239,1.038171923,1.052582435,673726.4647
TotalRevenue,MULT,2015-09-06,36,656078.1475,642402.0959,1.076352396,0.948842527,609538.4279
TotalRevenue,MULT,2015-09-13,37,616120.5215,646451.4186,1.0764719,0.885374652,572351.6999
TotalRevenue,MULT,2015-09-20,38,562040.7435,651548.1361,0.972226629,0.887265879,578096.4299
TotalRevenue,MULT,2015-09-27,39,544246.4913,655575.4206,0.93058249,0.892109367,584844.9733
TotalRevenue,MULT,2015-10-04,40,595998.0472,659843.0182,0.909390388,0.9932392,655381.9517
TotalRevenue,MULT,2015-10-11,41,540102.5103,663821.5623,0.849379658,0.957906201,635878.791
TotalRevenue,MULT,2015-10-18,42,541108.0204,667287.1714,0.812709894,0.997781962,665807.1033
TotalRevenue,MULT,2015-10-25,43,562952.6922,673390.5364,0.782114632,1.06889361,719782.8411
TotalRevenue,MULT,2015-11-01,44,601086.0349,680662.7496,0.857971524,1.029275844,700589.7262
TotalRevenue,MULT,2015-11-08,45,565345.6706,685804.5094,0.90208755,0.91382923,626708.2065
TotalRevenue,MULT,2015-11-15,46,497419.8509,690022.3602,0.821733928,0.877260813,605329.5769
TotalRevenue,MULT,2015-11-22,47,554681.8894,695456.9854,0.847208663,0.941419793,654716.971
